Car_Type,Duration_Days,Total_Distance_km,Num_Passengers,Package_Level,Start_Region,Season_Index,Car_Age_Years,Total_Cost
SUV,14,2263,4,Premium,Suburban,2,8,3277.67
SUV,9,71,9,VIP,City,2,1,1412.45
Sedan,4,203,5,Basic,City,2,3,772.18
Van,4,2012,8,Basic,City,3,2,2443.92
Luxury,8,268,9,VIP,Suburban,2,5,1365.11
SUV,2,718,5,VIP,Airport,1,4,1230.59
Sedan,9,1568,6,Basic,City,1,7,2168
Mini Bus,14,2327,1,VIP,Suburban,1,5,3222.55
Hatchback,9,2117,7,Basic,City,3,8,2627.02
Luxury,16,2650,4,VIP,Suburban,1,4,3873.09
SUV,17,999,2,VIP,City,3,6,2686.71
Van,16,2245,5,Premium,Suburban,3,4,3484.39
Sedan,12,452,3,VIP,City,1,2,1681.99
SUV,3,645,6,Premium,Airport,2,1,1449.26
Van,11,2464,8,VIP,City,3,1,3793.79
SUV,14,1487,7,Basic,Suburban,1,8,2365.28
Luxury,18,2899,3,Basic,City,3,4,4002.68
Luxury,5,1207,8,VIP,Airport,2,5,2012.21
Luxury,16,1792,2,VIP,City,2,8,2862.18
Mini Bus,5,1356,9,Basic,Suburban,1,7,1788.76
Mini Bus,3,122,4,VIP,Suburban,3,8,855.43
Sedan,12,530,1,Premium,Airport,3,8,1568.06
Luxury,1,609,8,Premium,Suburban,3,6,1079.53
Van,9,794,7,Premium,City,3,2,1999.22
SUV,9,1516,5,Premium,City,1,6,2335.4
Hatchback,4,149,5,Premium,City,2,1,778.43
Van,3,1132,7,VIP,Suburban,1,1,1833.18
Mini Bus,17,2605,5,VIP,City,3,3,4215.5
Mini Bus,2,2355,8,Premium,City,3,3,2796.55
Van,1,462,6,VIP,City,2,5,1124.25
Mini Bus,8,1138,5,VIP,Airport,3,1,2285.23
Luxury,13,2692,9,Premium,Suburban,1,6,3637.51
Sedan,15,1227,2,VIP,Suburban,1,7,2343.99
SUV,8,2058,1,VIP,Suburban,2,3,2951.74
Sedan,12,2363,8,VIP,Airport,1,4,3314.12
SUV,12,870,3,Premium,Suburban,1,3,1743.4
SUV,14,711,7,VIP,Airport,1,1,2325.64
Sedan,15,609,8,Basic,Airport,1,8,1850.14
Van,15,2988,6,Basic,Suburban,3,2,4058.55
SUV,9,1321,9,Premium,City,1,1,2504.73
Sedan,19,1863,7,Basic,City,2,8,2929.09
SUV,8,2965,5,Premium,Suburban,2,7,3424.71
Hatchback,19,659,8,Basic,Suburban,1,7,2093
Van,6,2511,2,Basic,Airport,2,4,2936.39
Luxury,19,74,7,Basic,Suburban,1,9,1489.37
SUV,4,2078,4,Premium,Airport,2,6,2516.43
Hatchback,7,333,9,Premium,Suburban,2,2,1213.19
Luxury,4,1522,1,VIP,City,1,1,2156.63
Luxury,12,2978,7,Premium,City,1,1,4064.44
SUV,13,350,6,Basic,Suburban,3,9,1304.07
Sedan,3,1141,8,Basic,Airport,1,4,1462.53
SUV,12,1080,5,Premium,City,1,5,2080.06
Hatchback,2,866,1,Premium,Airport,3,3,1292.26
Luxury,2,132,1,Premium,Suburban,1,4,539.26
SUV,9,1970,9,VIP,Suburban,1,8,2795.62
Sedan,1,2143,6,Basic,City,3,4,2329.85
SUV,8,667,5,VIP,Suburban,1,9,1537.99
Van,6,2359,1,VIP,City,1,9,2800.62
Sedan,6,225,6,Basic,Airport,3,6,850.06
Hatchback,18,1239,6,Basic,City,3,2,2663.3
Luxury,17,2754,3,Premium,City,2,7,3756.05
SUV,12,891,8,Premium,Airport,1,9,1710.26
Sedan,6,419,1,VIP,City,2,6,958.31
Van,8,1868,1,Premium,City,2,3,2483.14
Sedan,19,2151,6,Premium,Suburban,3,7,3446.02
Mini Bus,10,739,1,Basic,Airport,1,5,1358.89
Van,1,1829,6,Basic,City,1,1,2103.98
Hatchback,13,1414,1,Premium,Airport,3,3,2416.34
Luxury,17,1482,6,Basic,Airport,2,5,2683.62
Hatchback,3,416,3,Premium,City,3,7,809.65
SUV,8,693,8,Basic,Suburban,1,3,1413.66
Sedan,14,2476,6,Basic,Airport,3,6,3326.11
Mini Bus,3,122,1,Basic,City,1,5,459.34
Van,16,1321,5,Basic,Airport,2,1,2562.91
Van,13,909,8,Premium,Suburban,1,6,1954.88
Sedan,17,92,3,VIP,Suburban,2,8,1432.77
Mini Bus,13,2474,6,Basic,Suburban,2,1,3392.14
Sedan,6,1114,5,Premium,City,1,2,2017.09
SUV,17,2267,6,Premium,City,1,4,3390.17
Hatchback,14,2309,1,Basic,Suburban,2,2,3240.63
Van,17,1566,7,VIP,City,3,9,2965.88
SUV,8,2136,9,Basic,Suburban,1,8,2631.5
Hatchback,11,418,2,Premium,City,2,8,1366.64
SUV,1,2854,5,VIP,Suburban,2,4,3181.12
Mini Bus,7,200,4,Premium,Airport,3,5,1150.17
Van,17,1184,6,Basic,Suburban,1,4,2656.4
Sedan,10,1553,6,VIP,Suburban,2,9,2510.8
Sedan,11,1509,2,Premium,City,3,2,2731.73
Hatchback,9,1120,2,Premium,City,2,8,1835.73
Luxury,9,1073,4,Premium,City,1,2,1803.86
Mini Bus,5,1648,1,Basic,City,3,1,2196.28
Hatchback,17,2834,9,VIP,City,2,3,4260.95
Luxury,9,2090,7,Basic,City,3,9,2599.49
SUV,17,1439,7,Basic,Airport,1,3,2606.39
Mini Bus,19,118,3,Basic,Suburban,3,9,1377.63
SUV,7,2396,3,VIP,Suburban,1,7,2809.21
Van,9,993,1,Basic,Suburban,2,1,2058.72
Mini Bus,7,851,3,Basic,Airport,1,5,1412.84
Luxury,13,2393,3,Basic,Suburban,2,9,3033.03
Van,11,2300,4,Basic,Airport,2,3,3045.79
Sedan,14,110,4,Premium,Airport,1,9,1248.28
Luxury,19,995,3,Basic,Airport,2,5,2494.57
Hatchback,11,1387,8,Premium,Suburban,3,9,2415.51
Sedan,13,1234,8,Basic,Airport,2,6,2205.14
Sedan,14,380,1,VIP,Suburban,1,9,1598.72
Hatchback,13,1601,7,Premium,Suburban,3,7,2707.98
Mini Bus,1,387,2,Premium,City,3,7,805.54
Sedan,8,1679,1,Premium,City,2,8,2316.22
Luxury,12,1377,3,Premium,Airport,2,7,2202.92
Van,19,1576,4,VIP,Airport,1,9,2624.3
Sedan,12,1723,6,Basic,Suburban,3,9,2443.49
Luxury,8,1411,5,Premium,Airport,1,6,2137.66
SUV,8,1623,4,VIP,Airport,2,7,2490.01
Luxury,13,2736,8,Premium,Suburban,3,2,4073.52
Van,12,324,4,Basic,Airport,1,9,978.98
Luxury,16,1237,2,Premium,Airport,1,1,2658.01
Hatchback,1,2416,3,VIP,Suburban,1,1,2826.61
Van,13,2686,6,Basic,Suburban,1,3,3544.93
Mini Bus,7,2601,8,VIP,City,1,6,3389.33
SUV,5,2484,8,Basic,Suburban,3,5,2784.8
Hatchback,8,2043,9,Basic,City,1,2,2583.11
Mini Bus,14,919,7,Basic,Airport,3,9,1792.53
Luxury,13,2930,2,Premium,Suburban,1,4,3835.67
Van,15,1064,8,VIP,Suburban,2,4,2490.95
SUV,17,1961,7,VIP,Suburban,2,5,3638.21
Hatchback,15,652,8,VIP,Airport,1,8,1937.21
Mini Bus,18,1849,3,Basic,City,2,4,2812.54
Mini Bus,18,740,7,Premium,Airport,3,5,2205.31
SUV,2,543,9,Basic,Airport,1,4,937.79
Luxury,4,539,3,VIP,Suburban,3,6,1341.92
SUV,1,2818,6,Premium,City,1,3,2903.02
Mini Bus,4,2606,2,Premium,Airport,2,8,2883.62
Sedan,18,439,2,Premium,Suburban,3,6,1955.37
Hatchback,5,344,5,VIP,Airport,2,5,1092.69
SUV,19,1442,5,Premium,Airport,2,2,3189.1
Mini Bus,15,2893,7,Premium,Suburban,1,7,3749.78
Luxury,8,2962,2,Basic,Suburban,3,2,3395.81
Mini Bus,17,1767,7,Basic,City,2,1,2876.79
Luxury,1,2646,5,Premium,Airport,1,7,2847.88
SUV,12,698,6,Premium,Suburban,1,5,1705.95
Luxury,19,1923,8,Basic,Suburban,1,1,3208.19
Van,15,617,4,Basic,City,2,4,1548.4
Van,9,2950,7,Basic,City,1,4,3413.29
Van,7,2867,6,VIP,Suburban,3,7,3881.07
Sedan,2,494,2,VIP,City,3,9,732.26
SUV,9,412,8,Basic,Suburban,2,2,1275
Mini Bus,10,2220,9,Premium,Airport,3,1,3543.13
Mini Bus,2,1261,5,Basic,City,1,2,1689.78
Sedan,19,791,4,VIP,Airport,2,7,2248.42
Luxury,11,2091,6,Premium,Airport,1,6,2886.33
Sedan,13,729,8,VIP,Airport,2,4,2161.65
Luxury,10,2517,3,Premium,Suburban,2,1,3381.36
Luxury,14,1692,1,VIP,Airport,1,1,3096.93
Hatchback,18,1622,4,Premium,Airport,3,5,3045.57
Mini Bus,19,1408,4,Premium,Airport,3,1,3148.46
Van,9,2189,1,Premium,Suburban,2,7,2771.89
Luxury,7,112,9,Premium,Airport,1,1,846.91
Hatchback,3,2609,3,VIP,Airport,1,1,2955.01
Mini Bus,6,1212,5,VIP,City,2,2,1997.61
Van,2,1278,6,Premium,Suburban,3,3,1825.29
Luxury,6,2869,8,Premium,Airport,1,1,3736.51
Luxury,3,305,6,VIP,City,3,9,1022.99
Sedan,16,184,3,Premium,Suburban,3,8,1447.91
Sedan,8,924,6,Premium,Suburban,2,5,1895.23
Mini Bus,2,871,1,Premium,Suburban,2,2,1144.67
Van,17,2185,4,Basic,Suburban,3,5,3242.74
Luxury,9,872,6,Premium,Suburban,1,6,1568.32
Mini Bus,12,1023,7,Basic,Suburban,1,1,2058.46
Mini Bus,3,1827,3,Premium,Airport,2,4,2326.8
SUV,11,170,9,VIP,Airport,3,9,1469.58
Sedan,1,1687,7,Basic,Airport,1,2,1971.78
Van,13,1414,1,Basic,Airport,1,5,2089.27
Luxury,15,1057,2,Premium,City,2,1,2364.79
Mini Bus,5,974,1,Premium,Airport,3,4,1500.82
Luxury,17,694,9,Basic,Suburban,1,4,2040.5
SUV,6,2082,9,VIP,Airport,2,6,2798.73
Van,11,2811,7,VIP,Airport,1,9,3445.32
Mini Bus,18,2957,3,Premium,Suburban,1,3,4095.84
Luxury,4,2118,5,VIP,Airport,1,9,2256.63
Sedan,3,291,4,VIP,Airport,2,6,1118.82
SUV,13,2552,7,Premium,Airport,3,7,3642.45
Van,9,2718,9,VIP,City,2,2,3791.64
SUV,6,2400,2,Premium,Airport,3,6,2705.16
Sedan,12,1669,8,Basic,Suburban,1,6,2358.08
Van,2,852,9,Premium,Suburban,3,2,1586.67
SUV,3,1013,9,Basic,Airport,1,2,1445.13
Hatchback,3,118,7,Basic,Airport,1,2,418.57
Sedan,12,1202,9,VIP,Airport,2,1,2443.83
Sedan,15,245,9,VIP,Suburban,1,5,1666.53
Sedan,9,2237,3,VIP,Suburban,2,8,2804.31
Hatchback,8,2380,4,Premium,City,3,2,3356.57
Hatchback,11,2409,2,VIP,City,3,5,3452.44
Luxury,16,795,3,Basic,City,1,8,1604.08
Mini Bus,4,1738,5,VIP,Suburban,2,5,2504.5
SUV,1,326,5,VIP,City,1,2,1054.52
Luxury,7,110,6,Premium,Airport,2,3,1058.68
SUV,2,1963,7,Premium,Airport,2,6,2306.95
Mini Bus,5,2149,7,Basic,Suburban,2,5,2508.28
Hatchback,7,2250,1,Premium,City,3,4,2805.21
Mini Bus,4,1822,2,VIP,Airport,2,4,2239.38
Hatchback,5,1384,9,Premium,Suburban,3,5,2319
Mini Bus,1,1887,2,Basic,City,2,2,1985.84
Luxury,1,2641,6,VIP,Airport,3,9,2965.28
Van,15,616,1,Basic,City,3,2,1690.17
Luxury,19,1621,3,Premium,Suburban,3,2,3112.77
SUV,10,671,2,Premium,City,1,9,1660.99
Luxury,18,2075,3,Basic,Suburban,2,3,3140.38
Sedan,3,1250,5,VIP,City,1,7,1888.83
SUV,11,363,6,Premium,Airport,2,4,1453.36
Mini Bus,15,2904,9,Premium,Suburban,2,6,4070.19
SUV,11,2945,4,VIP,Suburban,1,4,3949.85
Van,17,2194,7,Premium,Suburban,3,7,3497.27
Hatchback,17,2978,6,Basic,City,2,1,4083
Mini Bus,6,1286,2,Premium,City,3,3,1980.07
SUV,5,2926,8,Premium,Airport,1,3,3390.11
Mini Bus,8,186,7,VIP,Suburban,3,1,1701.12
Mini Bus,2,1079,7,Basic,Suburban,2,6,1188
Mini Bus,16,2206,8,VIP,City,2,9,3227.91
Hatchback,12,2644,1,Premium,City,2,8,3100.11
Luxury,6,711,1,Premium,Airport,1,7,1052.63
Mini Bus,1,2522,8,VIP,Airport,2,8,2943.81
Sedan,4,2727,4,VIP,City,1,6,3205.67
Van,17,2358,5,VIP,Suburban,3,9,3569.3
Hatchback,13,136,8,Basic,Airport,2,3,1303.98
SUV,18,2562,5,Premium,City,2,9,3521.84
Hatchback,5,2173,4,VIP,City,2,4,2702.87
SUV,3,2568,6,Premium,Suburban,3,7,3005.78
Hatchback,11,2511,5,Basic,City,2,9,3165.62
SUV,13,2922,7,Basic,City,1,2,3687.58
Mini Bus,4,2992,7,Basic,Airport,3,2,3624
Luxury,14,2823,4,Basic,City,3,9,3671.57
SUV,11,2554,5,Premium,City,3,3,3709.61
SUV,10,1358,3,Basic,Airport,3,9,1936.09
Sedan,19,1750,4,Basic,Suburban,3,5,3212.48
SUV,18,2750,4,VIP,Suburban,1,6,4236.55
Sedan,6,2769,3,Basic,Airport,3,2,3197.6
Van,15,544,5,VIP,Airport,2,8,1826.1
Mini Bus,10,1697,5,Basic,Suburban,3,9,2213.57
Sedan,5,1992,7,Basic,Suburban,3,2,2450.49
Luxury,5,1118,4,VIP,Suburban,3,6,1750.29
Mini Bus,10,1474,4,Basic,Suburban,3,6,2109.22
Sedan,5,646,9,Premium,Suburban,3,8,1399.37
Mini Bus,3,499,6,Premium,Airport,1,5,891.8
Mini Bus,6,534,4,Basic,City,1,9,884.9
Mini Bus,4,695,2,Premium,Suburban,3,1,1452.28
Van,18,2717,6,VIP,Suburban,1,9,3833.89
Luxury,9,1679,2,Basic,City,2,7,2158.58
Hatchback,17,711,5,Basic,City,3,4,1971.55
Hatchback,13,807,6,VIP,City,2,3,2124.01
Sedan,15,338,4,VIP,City,2,6,1607.14
Mini Bus,17,770,3,VIP,City,3,1,2453.09
Sedan,13,687,7,Basic,City,2,3,1706.23
Van,16,2332,2,VIP,Airport,2,2,3508.87
Van,4,2513,6,VIP,City,2,9,3017.91
SUV,5,548,4,Premium,City,3,3,1403.47
Van,5,683,6,Premium,Airport,3,2,1668.1
SUV,9,1723,4,Basic,City,2,4,2237.77
Luxury,17,2080,4,Premium,Suburban,3,2,3404.29
Sedan,13,164,4,Premium,Suburban,3,1,1560.26
Luxury,2,723,9,VIP,City,2,6,1335.46
Van,13,1786,7,VIP,Airport,3,8,3040.91
Luxury,19,1307,3,Premium,Suburban,1,2,2761.05
Luxury,3,2303,3,Premium,Airport,3,9,2610.22
Luxury,10,2344,6,Premium,Suburban,1,3,3309.76
Van,2,2855,6,Basic,City,2,8,2946.79
Mini Bus,13,196,4,Basic,Airport,3,8,1184.87
Luxury,19,2215,9,Basic,Airport,2,3,3540.28
SUV,17,461,4,Premium,Airport,2,3,1875.04
Van,14,1737,9,Premium,Suburban,2,6,2750.59
Luxury,12,2460,4,Basic,Suburban,2,1,3097.11
Mini Bus,12,1582,2,Basic,Suburban,2,4,2419.45
Van,11,186,2,Premium,City,3,1,1529.24
Hatchback,7,68,5,VIP,Suburban,1,3,991.59
Mini Bus,4,2292,4,Basic,City,3,9,2668.25
SUV,19,2427,7,Premium,Airport,3,5,3843.12
Luxury,1,2009,5,Premium,Airport,3,5,2123.65
Hatchback,3,2272,6,VIP,City,3,4,3034.99
Hatchback,13,1051,4,Premium,Suburban,1,3,2043.39
Van,15,498,2,Premium,City,3,5,1884.25
Hatchback,2,1998,9,Basic,Airport,2,4,2159.9
SUV,11,995,7,Basic,Airport,3,8,1889.95
SUV,4,1427,4,VIP,City,3,4,2078.24
Sedan,19,1572,3,VIP,Suburban,1,8,2903.97
SUV,17,190,3,Premium,Suburban,1,6,1527.99
Mini Bus,3,2855,9,Basic,City,2,5,3173.63
Hatchback,18,1970,5,VIP,City,3,4,3536.32
SUV,8,142,3,VIP,Suburban,3,4,1067.38
Van,19,288,5,VIP,Airport,3,4,2161.84
Sedan,5,254,2,Premium,City,2,9,847.37
Hatchback,7,2657,4,Basic,Suburban,1,4,2876.14
Sedan,8,1506,2,VIP,Suburban,2,9,2072.88
Hatchback,5,294,2,Basic,Airport,3,6,923.43
Van,17,881,8,VIP,Airport,1,7,2272.89
Sedan,5,344,1,VIP,Airport,1,3,955.19
Luxury,4,2737,7,Basic,Airport,2,8,2941.01
Mini Bus,19,905,5,Basic,Airport,1,3,2127.88
Mini Bus,2,2114,8,Basic,City,1,1,2436.93
Hatchback,11,120,1,Premium,Suburban,3,5,1108.42
Luxury,13,1342,7,VIP,City,3,2,2743.5
Sedan,15,1398,5,Premium,City,1,6,2586.45
Luxury,12,354,4,Basic,City,1,9,757.38
Luxury,11,1080,7,VIP,City,2,1,2448.57
Sedan,7,1387,2,Premium,City,2,4,2151.75
Van,5,866,1,VIP,Airport,1,1,1524.76
Luxury,17,1176,1,Premium,Airport,3,1,2720.93
Luxury,9,870,1,Basic,Suburban,1,8,1182.92
Van,14,242,5,Premium,City,1,2,1413.6
Luxury,12,1826,7,VIP,Suburban,3,1,3100.38
Luxury,6,578,2,VIP,Airport,3,8,1454.36
Luxury,17,2268,8,VIP,Airport,2,4,3521.81
Mini Bus,19,300,4,VIP,Airport,2,3,2211.82
SUV,19,1838,3,Basic,City,2,4,3002.61
Van,16,2638,8,Premium,City,2,5,3892.99
Luxury,12,2076,2,Basic,Airport,3,1,3056.84
Mini Bus,12,2513,3,Basic,Suburban,1,1,3269.85
Van,6,2891,3,Basic,Suburban,2,3,3169.82
Hatchback,4,1453,1,VIP,Airport,2,6,2121.78
Hatchback,6,1217,6,VIP,Suburban,3,1,2198.52
Luxury,11,2122,2,VIP,Airport,3,2,3152.05
Mini Bus,1,2765,1,Premium,Suburban,1,7,2813.83
Mini Bus,15,1146,2,VIP,Airport,1,1,2493.89
Van,11,2729,6,Premium,Suburban,3,7,3724.04
Van,19,1897,4,VIP,City,2,4,3409.78
Mini Bus,18,554,6,VIP,Airport,2,6,2050.49
Van,17,1671,9,Basic,Airport,2,8,2811.87
Mini Bus,19,2433,8,Basic,Suburban,1,9,3390.99
SUV,14,2522,1,Basic,Airport,2,6,3160.17
Mini Bus,18,2596,8,Premium,Airport,2,9,3861.23
Hatchback,19,1437,9,Premium,Airport,3,4,3278.09
Van,15,2727,6,VIP,City,2,6,3874.72
Mini Bus,15,1272,5,Premium,City,3,8,2312.83
Mini Bus,4,767,6,VIP,Suburban,2,9,1356.89
Van,7,388,6,Premium,City,1,3,1255.98
SUV,13,708,9,Premium,Suburban,2,2,2063.1
SUV,3,1011,4,Premium,City,2,6,1583.21
Van,16,478,2,Basic,Suburban,3,4,1770.01
Sedan,9,948,9,Premium,City,3,1,1990.79
Van,8,188,2,Basic,City,3,8,750
Van,13,591,9,Basic,Suburban,2,9,1366.2
SUV,17,2154,2,Premium,Airport,2,9,3290.96
SUV,17,1305,8,VIP,Airport,1,2,2615.47
Van,17,2755,9,VIP,City,2,9,3865.5
Van,1,2532,9,VIP,Suburban,1,7,2787.38
Van,8,433,9,Premium,Airport,3,5,1527.37
SUV,19,2657,2,VIP,Suburban,3,7,3963.7
Van,6,243,4,Basic,Airport,3,9,709.87
Van,3,2631,7,VIP,Suburban,1,8,2931.44
Luxury,5,2615,2,Premium,City,2,6,2974.23
Sedan,13,2813,1,VIP,Suburban,3,4,3740.24
Hatchback,15,2848,3,Basic,Airport,2,1,3699.54
Sedan,14,2282,4,Premium,City,2,6,3445.51
Luxury,16,1945,8,VIP,Suburban,3,3,3543.79
Hatchback,18,2389,6,Premium,Airport,1,6,3641.39
Van,11,781,2,Premium,City,2,6,1669.86
Luxury,3,2213,9,Premium,Suburban,3,4,2779.87
Van,10,2922,2,VIP,Airport,2,2,3874.66
SUV,10,734,5,Premium,Suburban,2,9,1617.91
Mini Bus,16,131,4,VIP,Suburban,2,2,1819.43
Luxury,12,2931,7,Basic,City,2,3,3722.71
SUV,2,2430,8,VIP,City,2,1,3196.65
Luxury,9,2654,5,Basic,Airport,1,7,2742.65
Luxury,3,2432,5,VIP,City,1,1,3095.87
SUV,15,581,2,Premium,Airport,3,9,1646.67
Hatchback,3,2033,8,VIP,Suburban,1,1,2771.11
Sedan,19,270,2,Premium,Suburban,1,5,1560.08
Van,18,684,6,Basic,Airport,1,7,1671.4
Luxury,8,1819,8,VIP,Suburban,2,3,2862.86
Van,17,2420,6,Premium,City,2,9,3312.82
